img,folder,ratio,h,w,h_cm,w_cm,area,mode,gmean,std
../images/mask_set/2high_exsertion_low_seed_set/16.tif,2high_exsertion_low_seed_set,0.3298969072,97,32,1.0210526316,0.3368421053,6552,28,32.22,23.7433856037
../images/mask_set/2high_exsertion_low_seed_set/29.tif,2high_exsertion_low_seed_set,0.3917525773,97,38,1.0210526316,0.4,7917,28,34.1,20.0844343509
../images/mask_set/2high_exsertion_low_seed_set/76.tif,2high_exsertion_low_seed_set,0.4130434783,92,38,0.9684210526,0.4,7233,32,37.22,20.6220459965
../images/mask_set/2high_exsertion_low_seed_set/15.tif,2high_exsertion_low_seed_set,0.1743119266,109,19,1.1473684211,0.2,4722,28,40.1,27.4067746656
../images/mask_set/2high_exsertion_low_seed_set/2.tif,2high_exsertion_low_seed_set,0.3402061856,97,33,1.0210526316,0.3473684211,7173,28,34.84,20.4858236725
../images/mask_set/2high_exsertion_low_seed_set/43.tif,2high_exsertion_low_seed_set,0.3191489362,94,30,0.9894736842,0.3157894737,6459,33,34.38,15.2342909759
../images/mask_set/2high_exsertion_low_seed_set/121.tif,2high_exsertion_low_seed_set,0.2580645161,62,16,0.6526315789,0.1684210526,2067,26,32.16,21.3213527291
../images/mask_set/2high_exsertion_low_seed_set/112.tif,2high_exsertion_low_seed_set,0.3725490196,102,38,1.0736842105,0.4,7575,30,34.62,24.6173947546
../images/mask_set/2high_exsertion_low_seed_set/143.tif,2high_exsertion_low_seed_set,0.2929292929,99,29,1.0421052632,0.3052631579,6168,28,35.66,22.7551484482
../images/mask_set/2high_exsertion_low_seed_set/120.tif,2high_exsertion_low_seed_set,0.46875,64,30,0.6736842105,0.3157894737,4098,29,38.03,24.9273275562
../images/mask_set/2high_exsertion_low_seed_set/25.tif,2high_exsertion_low_seed_set,0.3440860215,93,32,0.9789473684,0.3368421053,6780,28,36.1,21.9235960527
../images/mask_set/2high_exsertion_low_seed_set/71.tif,2high_exsertion_low_seed_set,0.311827957,93,29,0.9789473684,0.3052631579,6237,26,32.03,21.5931134084
../images/mask_set/2high_exsertion_low_seed_set/135.tif,2high_exsertion_low_seed_set,0.4659090909,88,41,0.9263157895,0.4315789474,6738,25,29.05,20.6457064228
../images/mask_set/2high_exsertion_low_seed_set/111.tif,2high_exsertion_low_seed_set,0.414893617,94,39,0.9894736842,0.4105263158,7263,26,29.56,19.1060882547
../images/mask_set/2high_exsertion_low_seed_set/13.tif,2high_exsertion_low_seed_set,0.3,100,30,1.0526315789,0.3157894737,6714,27,30.92,18.6124518383
../images/mask_set/2high_exsertion_low_seed_set/78.tif,2high_exsertion_low_seed_set,0.2608695652,115,30,1.2105263158,0.3157894737,7473,35,36.66,17.3615834191
../images/mask_set/2high_exsertion_low_seed_set/49.tif,2high_exsertion_low_seed_set,0.3235294118,102,33,1.0736842105,0.3473684211,7941,25,30.69,23.2125901603
../images/mask_set/2high_exsertion_low_seed_set/88.tif,2high_exsertion_low_seed_set,0.2592592593,108,28,1.1368421053,0.2947368421,6844,24,31.6,21.5748994108
../images/mask_set/2high_exsertion_low_seed_set/137.tif,2high_exsertion_low_seed_set,0.4235294118,85,36,0.8947368421,0.3789473684,6603,25,27.23,17.5213534565
../images/mask_set/2high_exsertion_low_seed_set/144.tif,2high_exsertion_low_seed_set,0.3131313131,99,31,1.0421052632,0.3263157895,6442,26,33.56,21.8143330748
../images/mask_set/2high_exsertion_low_seed_set/12.tif,2high_exsertion_low_seed_set,0.3203883495,103,33,1.0842105263,0.3473684211,7134,24,29.45,19.1535792015
../images/mask_set/2high_exsertion_low_seed_set/50.tif,2high_exsertion_low_seed_set,0.1927710843,83,16,0.8736842105,0.1684210526,3126,26,37.1,26.398347119
../images/mask_set/2high_exsertion_low_seed_set/103.tif,2high_exsertion_low_seed_set,0.2278481013,79,18,0.8315789474,0.1894736842,2967,33,37.97,25.6784270942
../images/mask_set/2high_exsertion_low_seed_set/130.tif,2high_exsertion_low_seed_set,0.4081632653,98,40,1.0315789474,0.4210526316,7602,29,36.94,23.8957140271
../images/mask_set/2high_exsertion_low_seed_set/77.tif,2high_exsertion_low_seed_set,0.3484848485,66,23,0.6947368421,0.2421052632,2943,35,35.6,19.176984581
../images/mask_set/2high_exsertion_low_seed_set/67.tif,2high_exsertion_low_seed_set,0.3023255814,86,26,0.9052631579,0.2736842105,5181,32,40.8,23.0355414242
../images/mask_set/2high_exsertion_low_seed_set/73.tif,2high_exsertion_low_seed_set,0.2018348624,109,22,1.1473684211,0.2315789474,5376,28,29.97,15.2702476287
../images/mask_set/2high_exsertion_low_seed_set/79.tif,2high_exsertion_low_seed_set,0.3069306931,101,31,1.0631578947,0.3263157895,6111,30,31.66,14.7795917362
../images/mask_set/2high_exsertion_low_seed_set/114.tif,2high_exsertion_low_seed_set,0.4947368421,95,47,1,0.4947368421,7845,26,30.45,17.6405596998
../images/mask_set/2high_exsertion_low_seed_set/140.tif,2high_exsertion_low_seed_set,0.3768115942,69,26,0.7263157895,0.2736842105,3582,25,28.11,16.0418750275
../images/mask_set/2high_exsertion_low_seed_set/42.tif,2high_exsertion_low_seed_set,0.2584269663,89,23,0.9368421053,0.2421052632,4284,22,34.1,27.3882524432
../images/mask_set/2high_exsertion_low_seed_set/101.tif,2high_exsertion_low_seed_set,0.4494382022,89,40,0.9368421053,0.4210526316,6516,26,28.72,15.7894214513
../images/mask_set/2high_exsertion_low_seed_set/89.tif,2high_exsertion_low_seed_set,0.213592233,103,22,1.0842105263,0.2315789474,4870,31,42.44,25.9107901308
../images/mask_set/2high_exsertion_low_seed_set/107.tif,2high_exsertion_low_seed_set,0.2427184466,103,25,1.0842105263,0.2631578947,5372,26,30.2,20.3716497715
../images/mask_set/2high_exsertion_low_seed_set/3.tif,2high_exsertion_low_seed_set,0.2450980392,102,25,1.0736842105,0.2631578947,6324,28,34.5,22.1817413999
../images/mask_set/2high_exsertion_low_seed_set/51.tif,2high_exsertion_low_seed_set,0.3564356436,101,36,1.0631578947,0.3789473684,7650,28,34.22,19.6108553999
../images/mask_set/2high_exsertion_low_seed_set/55.tif,2high_exsertion_low_seed_set,0.2291666667,96,22,1.0105263158,0.2315789474,4398,33,42.2,26.0047256909
../images/mask_set/2high_exsertion_low_seed_set/104.tif,2high_exsertion_low_seed_set,0.2873563218,87,25,0.9157894737,0.2631578947,4386,26,33,20.3594609178
../images/mask_set/2high_exsertion_low_seed_set/14.tif,2high_exsertion_low_seed_set,0.2980769231,104,31,1.0947368421,0.3263157895,7776,26,34.56,24.257112852
../images/mask_set/2high_exsertion_low_seed_set/122.tif,2high_exsertion_low_seed_set,0.4653465347,101,47,1.0631578947,0.4947368421,8751,28,39.62,25.4920307267
../images/mask_set/2high_exsertion_low_seed_set/75.tif,2high_exsertion_low_seed_set,0.4,95,38,1,0.4,6087,31,35.88,20.9931407529
../images/mask_set/2high_exsertion_low_seed_set/83.tif,2high_exsertion_low_seed_set,0.4285714286,98,42,1.0315789474,0.4421052632,7830,24,27.4,17.3066132101
../images/mask_set/2high_exsertion_low_seed_set/133.tif,2high_exsertion_low_seed_set,0.3689320388,103,38,1.0842105263,0.4,7407,24,27.83,15.889139085
../images/mask_set/2high_exsertion_low_seed_set/84.tif,2high_exsertion_low_seed_set,0.4050632911,79,32,0.8315789474,0.3368421053,4629,24,40.1,25.4984255353
../images/mask_set/2high_exsertion_low_seed_set/109.tif,2high_exsertion_low_seed_set,0.4935064935,77,38,0.8105263158,0.4,5322,30,39.03,23.7292113056
../images/mask_set/2high_exsertion_low_seed_set/26.tif,2high_exsertion_low_seed_set,0.3846153846,91,35,0.9578947368,0.3684210526,6768,32,37.22,21.2565582534
../images/mask_set/2high_exsertion_low_seed_set/118.tif,2high_exsertion_low_seed_set,0.3402061856,97,33,1.0210526316,0.3473684211,6186,29,34.16,19.7500063615
../images/mask_set/2high_exsertion_low_seed_set/57.tif,2high_exsertion_low_seed_set,0.5326086957,92,49,0.9684210526,0.5157894737,7638,28,33.56,18.393056671
../images/mask_set/2high_exsertion_low_seed_set/38.tif,2high_exsertion_low_seed_set,0.33,100,33,1.0526315789,0.3473684211,7440,31,39.72,23.2640078058
../images/mask_set/2high_exsertion_low_seed_set/90.tif,2high_exsertion_low_seed_set,0.4175824176,91,38,0.9578947368,0.4,6093,33,40.5,23.3781643719
../images/mask_set/2high_exsertion_low_seed_set/6.tif,2high_exsertion_low_seed_set,0.4204545455,88,37,0.9263157895,0.3894736842,6918,26,28.05,16.0896061135
../images/mask_set/2high_exsertion_low_seed_set/1.tif,2high_exsertion_low_seed_set,0.2978723404,94,28,0.9894736842,0.2947368421,5481,32,35.66,18.2335982791
../images/mask_set/2high_exsertion_low_seed_set/102.tif,2high_exsertion_low_seed_set,0.3068181818,88,27,0.9263157895,0.2842105263,5163,33,36.22,21.490675479
../images/mask_set/2high_exsertion_low_seed_set/54.tif,2high_exsertion_low_seed_set,0.5,84,42,0.8842105263,0.4421052632,6672,35,40.1,23.0114533025
../images/mask_set/2high_exsertion_low_seed_set/81.tif,2high_exsertion_low_seed_set,0.37,100,37,1.0526315789,0.3894736842,7160,25,27.67,17.8112709129
../images/mask_set/2high_exsertion_low_seed_set/58.tif,2high_exsertion_low_seed_set,0.3367346939,98,33,1.0315789474,0.3473684211,6726,28,34.72,23.0544647642
../images/mask_set/2high_exsertion_low_seed_set/27.tif,2high_exsertion_low_seed_set,0.3608247423,97,35,1.0210526316,0.3684210526,8106,33,39.94,20.3757107144
../images/mask_set/2high_exsertion_low_seed_set/21.tif,2high_exsertion_low_seed_set,0.2282608696,92,21,0.9684210526,0.2210526316,3948,27,33.56,19.4244854163
../images/mask_set/2high_exsertion_low_seed_set/136.tif,2high_exsertion_low_seed_set,0.4375,96,42,1.0105263158,0.4421052632,7845,25,26.25,14.8485494925
../images/mask_set/2high_exsertion_low_seed_set/141.tif,2high_exsertion_low_seed_set,0.2956521739,115,34,1.2105263158,0.3578947368,7992,32,33.84,15.8061635358
../images/mask_set/2high_exsertion_low_seed_set/142.tif,2high_exsertion_low_seed_set,0.3218390805,87,28,0.9157894737,0.2947368421,5253,35,43.62,24.3944503133
../images/mask_set/2high_exsertion_low_seed_set/9.tif,2high_exsertion_low_seed_set,0.2788461538,104,29,1.0947368421,0.3052631579,6618,28,32.03,22.515955009
