img,h_mm,w_mm,area (pixels)
2high_exsertion_low_seed_set/72.tif,10.631578947,2.105263158,4080
2high_exsertion_low_seed_set/8.tif,10.842105263,2.105263158,4365
2high_exsertion_low_seed_set/131.tif,8.947368421,4,6123
2high_exsertion_low_seed_set/94.tif,11.473684211,5.263157895,10200
2high_exsertion_low_seed_set/40.tif,9.894736842,2,4044
2high_exsertion_low_seed_set/128.tif,10.210526316,4,7032
2high_exsertion_low_seed_set/106.tif,9.473684211,2.315789474,3789
2high_exsertion_low_seed_set/117.tif,8,3.578947368,5759
2high_exsertion_low_seed_set/68.tif,10.947368421,2.842105263,6549
2high_exsertion_low_seed_set/98.tif,9.684210526,3.684210526,6149
2high_exsertion_low_seed_set/52.tif,9.578947368,4,7005
2high_exsertion_low_seed_set/134.tif,8.947368421,4.315789474,6020
2high_exsertion_low_seed_set/22.tif,10,2,3900
2high_exsertion_low_seed_set/53.tif,9.157894737,3.157894737,5307
2high_exsertion_low_seed_set/37.tif,8.526315789,4.526315789,6759
2high_exsertion_low_seed_set/62.tif,10.210526316,3.157894737,5577
2high_exsertion_low_seed_set/20.tif,10.315789474,3.052631579,6267
2high_exsertion_low_seed_set/11.tif,9.684210526,3.368421053,6627
2high_exsertion_low_seed_set/113.tif,10.526315789,4.947368421,8163
2high_exsertion_low_seed_set/70.tif,7.894736842,3.052631579,4227
2high_exsertion_low_seed_set/66.tif,10.421052632,3.263157895,6705
2low_seed_set_low_exsertion/61.tif,12.105263158,3.157894737,7317
2low_seed_set_low_exsertion/18.tif,9.157894737,2,3807
2low_seed_set_low_exsertion/34.tif,11.684210526,4.421052632,10133
2low_seed_set_low_exsertion/41.tif,10.210526316,2.736842105,5904
2low_seed_set_low_exsertion/19.tif,11.578947368,4.631578947,9348
2low_seed_set_low_exsertion/47.tif,9.263157895,1.789473684,3540
2low_seed_set_low_exsertion/63.tif,11.263157895,4,8967
2low_seed_set_low_exsertion/36.tif,11.368421053,4.421052632,9153
2low_seed_set_low_exsertion/60.tif,10.842105263,3.157894737,6786
2low_seed_set_low_exsertion/16.tif,10.421052632,3.894736842,6936
2low_seed_set_low_exsertion/29.tif,8.736842105,3.263157895,5487
2low_seed_set_low_exsertion/15.tif,11.052631579,4,8754
2low_seed_set_low_exsertion/2.tif,8.631578947,4.210526316,6279
2low_seed_set_low_exsertion/43.tif,12.210526316,4.210526316,10491
2low_seed_set_low_exsertion/25.tif,10,3.263157895,6033
2low_seed_set_low_exsertion/71.tif,10.947368421,3.157894737,6633
2low_seed_set_low_exsertion/13.tif,12.105263158,4.315789474,10962
2low_seed_set_low_exsertion/49.tif,11.578947368,3.052631579,7110
2low_seed_set_low_exsertion/12.tif,11.157894737,3.473684211,8388
2low_seed_set_low_exsertion/50.tif,10.631578947,3.368421053,7197
2low_seed_set_low_exsertion/67.tif,10.842105263,4.210526316,8691
2low_seed_set_low_exsertion/73.tif,10.631578947,5.052631579,9219
2low_seed_set_low_exsertion/42.tif,11.263157895,3.894736842,8655
2low_seed_set_low_exsertion/3.tif,10.947368421,4.210526316,7866
2low_seed_set_low_exsertion/51.tif,10,3.052631579,4884
2low_seed_set_low_exsertion/55.tif,12.631578947,4,10449
2low_seed_set_low_exsertion/14.tif,11.473684211,3.684210526,8250
2low_seed_set_low_exsertion/57.tif,10.842105263,4.315789474,8414
2low_seed_set_low_exsertion/38.tif,11.894736842,4.105263158,9711
2low_seed_set_low_exsertion/6.tif,11.368421053,4,9597
2low_seed_set_low_exsertion/1.tif,11.684210526,5.157894737,10266
2low_seed_set_low_exsertion/54.tif,10.842105263,3.263157895,5826
2low_seed_set_low_exsertion/58.tif,11.684210526,3.789473684,9414
2low_seed_set_low_exsertion/27.tif,8.842105263,2.842105263,4941
2low_seed_set_low_exsertion/21.tif,11.789473684,4.631578947,9105
2low_seed_set_low_exsertion/9.tif,11.368421053,4.526315789,8853
2low_seed_set_low_exsertion/33.tif,12.210526316,4.105263158,9591
2low_seed_set_low_exsertion/5.tif,7.263157895,2,2766
2low_seed_set_low_exsertion/35.tif,12,3.684210526,9417
2low_seed_set_low_exsertion/32.tif,10.421052632,3.684210526,7986
2low_seed_set_low_exsertion/65.tif,9.684210526,4.315789474,7746
2low_seed_set_low_exsertion/24.tif,11.052631579,3.473684211,7629
2low_seed_set_low_exsertion/44.tif,9.473684211,2.210526316,4038
2low_seed_set_low_exsertion/30.tif,10,3.789473684,6840
2low_seed_set_low_exsertion/48.tif,10.736842105,2.631578947,5736
2low_seed_set_low_exsertion/56.tif,10.315789474,2.421052632,4320
2low_seed_set_low_exsertion/46.tif,7.789473684,1.894736842,2763
2low_seed_set_low_exsertion/31.tif,10.947368421,3.263157895,6372
2low_seed_set_low_exsertion/7.tif,13.052631579,4.210526316,10749
2low_seed_set_low_exsertion/45.tif,8.526315789,2.421052632,3723
2low_seed_set_low_exsertion/69.tif,11.473684211,4.315789474,9675
2low_seed_set_low_exsertion/59.tif,10.210526316,3.684210526,7497
2low_seed_set_low_exsertion/10.tif,10.842105263,2.947368421,6380
2low_seed_set_low_exsertion/64.tif,10.736842105,3.789473684,8493
2low_seed_set_low_exsertion/39.tif,10.842105263,3.789473684,8712
2low_seed_set_low_exsertion/17.tif,11.473684211,4.736842105,9885
2low_seed_set_low_exsertion/4.tif,10.315789474,4.315789474,8880
2low_seed_set_low_exsertion/28.tif,10.631578947,3.789473684,8073
2low_seed_set_low_exsertion/23.tif,11.368421053,4.631578947,9687
2low_seed_set_low_exsertion/72.tif,11.052631579,2.842105263,6657
2low_seed_set_low_exsertion/8.tif,10.736842105,4.842105263,8913
2low_seed_set_low_exsertion/40.tif,11.473684211,4.421052632,9072
2low_seed_set_low_exsertion/68.tif,9.894736842,3.894736842,7662
2low_seed_set_low_exsertion/52.tif,9.894736842,4,7485
2low_seed_set_low_exsertion/22.tif,11.473684211,3.473684211,6870
2low_seed_set_low_exsertion/53.tif,11.789473684,3.894736842,7413
2low_seed_set_low_exsertion/37.tif,11.263157895,3.789473684,8652
2low_seed_set_low_exsertion/62.tif,10.947368421,4.842105263,8772
2low_seed_set_low_exsertion/20.tif,10.105263158,3.157894737,6288
2low_seed_set_low_exsertion/11.tif,10.842105263,3.578947368,8175
2low_seed_set_low_exsertion/70.tif,10,2.315789474,4740
2low_seed_set_low_exsertion/66.tif,9.368421053,4.210526316,6945
2low_total_spikelets_high_seed_set/18.tif,11.684210526,4.210526316,8634
2low_total_spikelets_high_seed_set/34.tif,11.894736842,4.421052632,10674
2low_total_spikelets_high_seed_set/19.tif,12.736842105,5.052631579,11172
2low_total_spikelets_high_seed_set/36.tif,12.526315789,3.894736842,8055
2low_total_spikelets_high_seed_set/16.tif,12.631578947,3.157894737,8361
2low_total_spikelets_high_seed_set/29.tif,11.684210526,3.894736842,9351
2low_total_spikelets_high_seed_set/15.tif,12.842105263,4.947368421,11586
2low_total_spikelets_high_seed_set/2.tif,12.526315789,5.157894737,12126
2low_total_spikelets_high_seed_set/25.tif,11.894736842,3.578947368,8802
2low_total_spikelets_high_seed_set/13.tif,13.684210526,3.263157895,8505
2low_total_spikelets_high_seed_set/12.tif,12.736842105,4.105263158,10035
2low_total_spikelets_high_seed_set/3.tif,14,3.052631579,9132
2low_total_spikelets_high_seed_set/14.tif,12.315789474,3.684210526,8295
2low_total_spikelets_high_seed_set/26.tif,10.947368421,3.789473684,8118
2low_total_spikelets_high_seed_set/38.tif,11.473684211,4.421052632,9732
2low_total_spikelets_high_seed_set/6.tif,9.578947368,3.052631579,5481
2low_total_spikelets_high_seed_set/1.tif,10.842105263,4.421052632,9306
2low_total_spikelets_high_seed_set/27.tif,13.473684211,4.421052632,12150
2low_total_spikelets_high_seed_set/21.tif,12.421052632,4,9564
2low_total_spikelets_high_seed_set/9.tif,11.789473684,3.789473684,8655
2low_total_spikelets_high_seed_set/33.tif,12.421052632,3.052631579,7998
2low_total_spikelets_high_seed_set/5.tif,11.789473684,4.947368421,9081
2low_total_spikelets_high_seed_set/35.tif,12.210526316,4,9960
2low_total_spikelets_high_seed_set/32.tif,11.789473684,3.578947368,8586
2low_total_spikelets_high_seed_set/24.tif,12.736842105,5.263157895,10842
2low_total_spikelets_high_seed_set/30.tif,13.473684211,4.105263158,10665
2low_total_spikelets_high_seed_set/31.tif,12.631578947,3.684210526,10098
2low_total_spikelets_high_seed_set/7.tif,13.894736842,4.421052632,11739
2low_total_spikelets_high_seed_set/10.tif,13.368421053,4.105263158,10878
2low_total_spikelets_high_seed_set/39.tif,12.315789474,4.631578947,10860
2low_total_spikelets_high_seed_set/17.tif,12.421052632,3.578947368,9051
2low_total_spikelets_high_seed_set/4.tif,10.947368421,4.947368421,10536
2low_total_spikelets_high_seed_set/28.tif,10.421052632,4.421052632,9048
2low_total_spikelets_high_seed_set/23.tif,12.105263158,6,11562
2low_total_spikelets_high_seed_set/8.tif,14.105263158,3.789473684,10695
2low_total_spikelets_high_seed_set/40.tif,11.473684211,2.842105263,6024
2low_total_spikelets_high_seed_set/22.tif,12.842105263,3.157894737,8529
2low_total_spikelets_high_seed_set/37.tif,12,3.894736842,7863
2low_total_spikelets_high_seed_set/20.tif,12.421052632,3.894736842,9897
2low_total_spikelets_high_seed_set/11.tif,12.736842105,4.105263158,9361
