img,folder,ratio,h,w,area,est_h_cm,est_w_cm,mode,gmean,kurtosis,var,std
../images/mask_set/2high_exsertion_low_seed_set/101.tif,2high_exsertion_low_seed_set,0.4494382022,89,40,6516,0.9368421053,0.4210526316,26,28.72,10.0909514725,-1105.1129907653,15.7894214513
../images/mask_set/2high_exsertion_low_seed_set/89.tif,2high_exsertion_low_seed_set,0.213592233,103,22,4870,1.0842105263,0.2315789474,31,42.44,-0.8464477442,-8072.1469057156,25.9107901308
../images/mask_set/2high_exsertion_low_seed_set/107.tif,2high_exsertion_low_seed_set,0.2427184466,103,25,5372,1.0842105263,0.2631578947,26,30.2,3.303525608,-1953.1960643219,20.3716497715
../images/mask_set/2high_exsertion_low_seed_set/3.tif,2high_exsertion_low_seed_set,0.2450980392,102,25,6324,1.0736842105,0.2631578947,28,34.5,1.7556588658,-2963.7711570338,22.1817413999
../images/mask_set/2high_exsertion_low_seed_set/51.tif,2high_exsertion_low_seed_set,0.3564356436,101,36,7650,1.0631578947,0.3789473684,28,34.22,2.5858274784,-2198.4288758158,19.6108553999
../images/mask_set/2high_exsertion_low_seed_set/55.tif,2high_exsertion_low_seed_set,0.2291666667,96,22,4398,1.0105263158,0.2315789474,33,42.2,-0.7440597009,-9125.8380155755,26.0047256909
../images/mask_set/2high_exsertion_low_seed_set/104.tif,2high_exsertion_low_seed_set,0.2873563218,87,25,4386,0.9157894737,0.2631578947,26,33,2.8145603828,-3415.3816754703,20.3594609178
../images/mask_set/2high_exsertion_low_seed_set/14.tif,2high_exsertion_low_seed_set,0.2980769231,104,31,7776,1.0947368421,0.3263157895,26,34.56,0.2935558218,-2485.1182560231,24.257112852
../images/mask_set/2high_exsertion_low_seed_set/122.tif,2high_exsertion_low_seed_set,0.4653465347,101,47,8751,1.0631578947,0.4947368421,28,39.62,-0.7479681709,-3579.8352569093,25.4920307267
../images/mask_set/2high_exsertion_low_seed_set/75.tif,2high_exsertion_low_seed_set,0.4,95,38,6087,1,0.4,31,35.88,1.9856126268,-3410.6532601941,20.9931407529
../images/mask_set/2high_exsertion_low_seed_set/83.tif,2high_exsertion_low_seed_set,0.4285714286,98,42,7830,1.0315789474,0.4421052632,24,27.4,7.3634674107,-858.5359310802,17.3066132101
../images/mask_set/2high_exsertion_low_seed_set/133.tif,2high_exsertion_low_seed_set,0.3689320388,103,38,7407,1.0842105263,0.4,24,27.83,12.2013398489,-911.2604352891,15.889139085
../images/mask_set/2high_exsertion_low_seed_set/84.tif,2high_exsertion_low_seed_set,0.4050632911,79,32,4629,0.8315789474,0.3368421053,24,40.1,-1.0976682531,-6754.0975817601,25.4984255353
../images/mask_set/2high_exsertion_low_seed_set/109.tif,2high_exsertion_low_seed_set,0.4935064935,77,38,5322,0.8105263158,0.4,30,39.03,-0.1660906673,-5396.3231155474,23.7292113056
../images/mask_set/2high_exsertion_low_seed_set/26.tif,2high_exsertion_low_seed_set,0.3846153846,91,35,6768,0.9578947368,0.3684210526,32,37.22,1.0793073544,-3493.5933620733,21.2565582534
../images/mask_set/2high_exsertion_low_seed_set/118.tif,2high_exsertion_low_seed_set,0.3402061856,97,33,6186,1.0210526316,0.3473684211,29,34.16,3.6798405976,-2782.0592844669,19.7500063615
../images/mask_set/2high_exsertion_low_seed_set/57.tif,2high_exsertion_low_seed_set,0.5326086957,92,49,7638,0.9684210526,0.5157894737,28,33.56,3.4454401796,-1946.0645312418,18.393056671
../images/mask_set/2high_exsertion_low_seed_set/38.tif,2high_exsertion_low_seed_set,0.33,100,33,7440,1.0526315789,0.3473684211,31,39.72,0.1271349122,-4002.7276415041,23.2640078058
../images/mask_set/2high_exsertion_low_seed_set/90.tif,2high_exsertion_low_seed_set,0.4175824176,91,38,6093,0.9578947368,0.4,33,40.5,0.0086969654,-5371.183886196,23.3781643719
../images/mask_set/2high_exsertion_low_seed_set/6.tif,2high_exsertion_low_seed_set,0.4204545455,88,37,6918,0.9263157895,0.3894736842,26,28.05,11.0370026568,-981.3095069194,16.0896061135
../images/mask_set/2high_exsertion_low_seed_set/1.tif,2high_exsertion_low_seed_set,3.3571428571,94,28,5481,0.9894736842,0.2947368421,32,35.66,3.277660189,-3482.2992788083,18.2335982791
../images/mask_set/2high_exsertion_low_seed_set/102.tif,2high_exsertion_low_seed_set,0.3068181818,88,27,5163,0.9263157895,0.2842105263,33,36.22,2.2120527327,-4321.4471452376,21.490675479
../images/mask_set/2high_exsertion_low_seed_set/54.tif,2high_exsertion_low_seed_set,0.5,84,42,6672,0.8842105263,0.4421052632,35,40.1,0.3225215836,-4852.2164757591,23.0114533025
../images/mask_set/2high_exsertion_low_seed_set/81.tif,2high_exsertion_low_seed_set,0.37,100,37,7160,1.0526315789,0.3894736842,25,27.67,8.2960298881,-990.5465896297,17.8112709129
../images/mask_set/2high_exsertion_low_seed_set/58.tif,2high_exsertion_low_seed_set,0.3367346939,98,33,6726,1.0315789474,0.3473684211,28,34.72,0.9735497124,-2855.0222268694,23.0544647642
../images/mask_set/2high_exsertion_low_seed_set/27.tif,2high_exsertion_low_seed_set,0.3608247423,97,35,8106,1.0210526316,0.3684210526,33,39.94,1.2061965568,-3624.8476165588,20.3757107144
../images/mask_set/2high_exsertion_low_seed_set/21.tif,2high_exsertion_low_seed_set,0.2282608696,92,21,3948,0.9684210526,0.2210526316,27,33.56,3.854578303,-3970.8421915374,19.4244854163
../images/mask_set/2high_exsertion_low_seed_set/136.tif,2high_exsertion_low_seed_set,0.4375,96,42,7845,1.0105263158,0.4421052632,25,26.25,11.6142243063,-628.3072758999,14.8485494925
../images/mask_set/2high_exsertion_low_seed_set/141.tif,2high_exsertion_low_seed_set,0.2956521739,115,34,7992,1.2105263158,0.3578947368,32,33.84,8.6857575192,-1918.8973409253,15.8061635358
../images/mask_set/2high_exsertion_low_seed_set/142.tif,2high_exsertion_low_seed_set,0.3218390805,87,28,5253,0.9157894737,0.2947368421,35,43.62,-0.641744958,-7999.2719232188,24.3944503133
../images/mask_set/2high_exsertion_low_seed_set/9.tif,2high_exsertion_low_seed_set,0.2788461538,104,29,6618,1.0947368421,0.3052631579,28,32.03,1.4869577361,-2155.6269778434,22.515955009
